,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,34.94,28.16,28.13,25.01,26.08,19.98,26.69,18.23
1,LCCC,TRS2,36.69,29.57,30.07,27.16,28.17,22.41,28.03,20.74
2,LCCC,TRS3,37.39,32.33,33.41,30.17,31.29,24.89,29.79,23.04
3,LCCC,TRS4,39.74,35.92,37.12,33.52,34.76,27.65,33.09,25.59
4,LCCC,TSR,0.0,0.0,0.0,0.0,27.39,20.98,0.0,0.0
5,LCCH,Reg,30.6,23.8,24.87,22.56,24.36,20.09,23.22,17.85
6,LCCH,TRS2,32.13,26.02,27.03,24.85,25.95,22.51,24.39,20.34
7,LCCH,TRS3,32.75,28.91,30.03,27.61,28.83,25.01,26.91,22.59
8,LCCH,TRS4,35.49,32.12,33.36,30.67,32.03,27.78,29.89,25.09
9,LCCH,TSR,30.6,23.8,24.87,22.56,25.58,21.1,23.22,17.85
10,RCCH,Reg,25.74,22.68,24.42,21.42,22.91,18.21,20.15,16.03
11,RCCH,TRS2,27.85,24.96,26.61,23.77,25.2,20.71,22.57,18.62
12,RCCH,TRS3,30.94,27.73,29.56,26.41,27.99,23.01,25.07,20.68
13,RCCH,TRS4,34.37,30.81,32.84,29.34,31.09,25.56,27.85,22.97
14,RCCH,TSR,0.0,0.0,0.0,0.0,24.06,19.13,0.0,0.0
