,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,23.62,20.71,21.62,18.92,19.84,14.61,18.6,13.13
1,LCCC,TRS2,25.8,23.05,23.91,21.34,22.23,17.19,21.04,15.74
2,LCCC,TRS3,28.66,25.61,26.56,23.71,24.69,19.09,23.37,17.48
3,LCCC,TRS4,31.84,28.45,29.51,26.34,27.43,21.21,25.96,19.42
4,LCCC,TSR,0.0,0.0,0.0,0.0,20.84,15.35,0.0,0.0
5,LCCH,Reg,20.39,17.88,18.8,16.81,17.81,14.7,16.24,12.78
6,LCCH,TRS2,22.75,20.34,21.23,19.32,20.28,17.28,18.77,15.39
7,LCCH,TRS3,25.27,22.6,23.58,21.46,22.53,19.19,20.85,17.09
8,LCCH,TRS4,28.07,25.11,26.2,23.84,25.03,21.32,23.16,18.98
9,LCCH,TSR,0.0,0.0,0.0,0.0,18.71,15.44,0.0,0.0
10,RCCH,Reg,19.55,16.91,18.41,15.84,17.11,13.12,14.76,11.29
11,RCCH,TRS2,21.96,19.42,20.86,18.38,19.61,15.72,17.33,13.91
12,RCCH,TRS3,24.39,21.57,23.17,20.42,21.78,17.46,19.25,15.45
13,RCCH,TRS4,27.09,23.96,25.74,22.68,24.2,19.4,21.38,17.16
14,RCCH,TSR,0.0,0.0,0.0,0.0,17.97,13.78,0.0,0.0
