,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,28.86,25.08,26.26,22.75,23.95,17.28,22.33,15.57
1,LCCC,TRS2,32.13,28.52,29.65,26.28,27.43,20.84,25.87,18.96
2,LCCC,TRS3,35.69,31.68,32.94,29.19,30.47,23.15,28.74,21.06
3,LCCC,TRS4,39.65,35.2,36.59,32.43,33.85,25.72,31.93,23.4
4,LCCC,TSR,0.0,0.0,0.0,0.0,25.15,18.15,0.0,0.0
5,LCCH,Reg,24.66,21.42,22.84,20.1,21.52,17.8,19.29,15.72
6,LCCH,TRS2,28.11,24.97,26.12,23.62,24.88,20.96,22.9,18.61
7,LCCH,TRS3,31.23,27.74,29.02,26.24,27.64,23.28,25.44,20.68
8,LCCH,TRS4,34.7,30.82,32.24,29.15,30.71,25.86,28.26,22.97
9,LCCH,TSR,0.0,0.0,0.0,0.0,22.6,18.69,0.0,0.0
10,RCCH,Reg,23.57,20.16,22.1,18.77,20.42,15.67,17.43,13.39
11,RCCH,TRS2,27.07,23.76,25.65,22.4,24.01,18.94,21.03,16.6
12,RCCH,TRS3,30.07,26.39,28.49,24.88,26.67,21.04,23.36,18.44
13,RCCH,TRS4,33.41,29.32,31.65,27.64,29.63,23.37,25.95,20.48
14,RCCH,TSR,0.0,0.0,0.0,0.0,21.45,16.46,0.0,0.0
