,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,24.2,21.12,22.08,19.22,20.2,14.69,18.89,13.14
1,LCCC,TRS2,26.68,23.76,24.68,21.95,22.88,17.54,21.62,16.02
2,LCCC,TRS3,29.64,26.4,27.42,24.38,25.42,19.48,24.02,17.79
3,LCCC,TRS4,32.93,29.33,30.46,27.08,28.24,21.64,26.68,19.76
4,LCCC,TSR,0.0,0.0,0.0,0.0,21.21,15.43,0.0,0.0
5,LCCH,Reg,20.78,18.13,19.1,17.0,18.05,14.79,16.4,12.77
6,LCCH,TRS2,23.43,20.89,21.83,19.8,20.82,17.64,19.21,15.64
7,LCCH,TRS3,26.03,23.21,24.25,21.99,23.13,19.59,21.34,17.37
8,LCCH,TRS4,28.92,25.78,26.94,24.43,25.69,21.76,23.71,19.29
9,LCCH,TSR,0.0,0.0,0.0,0.0,18.96,15.53,0.0,0.0
10,RCCH,Reg,19.9,17.11,18.69,15.98,17.32,13.12,14.84,11.21
11,RCCH,TRS2,22.59,19.9,21.43,18.8,20.11,15.99,17.69,14.09
12,RCCH,TRS3,25.1,22.11,23.81,20.88,22.34,17.76,19.65,15.65
13,RCCH,TRS4,27.88,24.56,26.45,23.2,24.82,19.73,21.83,17.38
14,RCCH,TSR,0.0,0.0,0.0,0.0,18.19,13.78,0.0,0.0
