,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,37.66,33.06,34.5,30.21,31.68,23.38,29.7,21.04
1,LCCC,TRS2,41.07,36.72,38.07,34.02,35.4,27.43,33.53,25.12
2,LCCC,TRS3,45.63,40.79,42.3,37.79,39.33,30.47,37.25,27.91
3,LCCC,TRS4,50.69,45.32,47.0,41.98,43.7,33.85,41.38,31.01
4,LCCC,TSR,0.0,0.0,0.0,0.0,33.27,24.55,0.0,0.0
5,LCCH,Reg,32.55,28.57,30.03,26.87,28.45,23.53,25.96,20.47
6,LCCH,TRS2,36.23,32.43,33.84,30.8,32.32,27.56,29.93,24.57
7,LCCH,TRS3,40.25,36.03,37.59,34.22,35.91,30.62,33.25,27.29
8,LCCH,TRS4,44.72,40.03,41.76,38.02,39.9,34.02,36.94,30.32
9,LCCH,TSR,0.0,0.0,0.0,0.0,29.88,24.71,0.0,0.0
10,RCCH,Reg,31.22,27.04,29.42,25.33,27.35,21.06,23.61,18.11
11,RCCH,TRS2,34.97,30.96,33.24,29.32,31.27,25.1,27.64,22.23
12,RCCH,TRS3,38.85,34.39,36.93,32.57,34.74,27.88,30.71,24.69
13,RCCH,TRS4,43.16,38.21,41.03,36.18,38.59,30.97,34.12,27.43
14,RCCH,TSR,0.0,0.0,0.0,0.0,28.72,22.12,0.0,0.0
