,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,24.07,21.27,22.15,19.54,20.43,15.35,19.22,13.9
1,LCCC,TRS2,25.89,23.26,24.09,21.63,22.47,17.63,21.33,16.22
2,LCCC,TRS3,28.76,25.84,26.76,24.03,24.96,19.58,23.69,18.02
3,LCCC,TRS4,31.95,28.71,29.73,26.69,27.73,21.75,26.32,20.02
4,LCCC,TSR,0.0,0.0,0.0,0.0,21.46,16.12,0.0,0.0
5,LCCH,Reg,20.96,18.53,19.42,17.49,18.46,15.44,16.93,13.55
6,LCCH,TRS2,22.97,20.67,21.52,19.69,20.61,17.72,19.15,15.88
7,LCCH,TRS3,25.52,22.96,23.91,21.87,22.89,19.68,21.27,17.64
8,LCCH,TRS4,28.35,25.51,26.56,24.29,25.43,21.86,23.63,19.6
9,LCCH,TSR,0.0,0.0,0.0,0.0,19.39,16.22,0.0,0.0
10,RCCH,Reg,20.15,17.59,19.05,16.54,17.79,13.88,16.3,12.24
11,RCCH,TRS2,22.21,19.78,21.16,18.78,19.97,16.2,17.76,14.45
12,RCCH,TRS3,24.67,21.97,23.51,20.86,22.18,18.0,19.73,16.05
13,RCCH,TRS4,27.41,24.41,26.12,23.17,24.64,20.0,21.92,17.83
14,RCCH,TSR,0.0,0.0,0.0,0.0,18.68,14.58,0.0,0.0
