,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,27.29,23.87,24.93,21.75,22.84,16.7,21.38,15.64
1,LCCC,TRS2,29.97,26.73,27.74,24.71,25.75,19.81,24.35,18.1
2,LCCC,TRS3,33.3,29.7,30.82,27.45,28.61,22.01,27.05,20.11
3,LCCC,TRS4,36.99,32.99,34.24,30.5,31.78,24.45,30.05,22.34
4,LCCC,TSR,0.0,0.0,0.0,0.0,23.99,17.54,0.0,0.0
5,LCCH,Reg,23.49,20.53,21.81,19.28,20.47,16.8,18.61,20.35
6,LCCH,TRS2,26.37,23.54,24.78,22.32,23.49,19.92,21.68,21.37
7,LCCH,TRS3,29.29,26.15,27.54,24.8,26.1,22.13,24.08,21.78
8,LCCH,TRS4,32.54,29.05,30.59,27.55,29.0,24.58,26.75,22.19
9,LCCH,TSR,0.0,0.0,0.0,0.0,21.5,17.64,0.0,0.0
10,RCCH,Reg,22.5,19.4,21.16,18.14,19.64,16.07,16.87,13.5
11,RCCH,TRS2,25.43,22.44,24.14,21.22,22.68,18.09,19.98,15.96
12,RCCH,TRS3,28.25,24.93,26.82,23.57,25.19,20.09,22.19,17.73
13,RCCH,TRS4,31.38,27.69,29.79,26.18,27.98,22.32,24.65,19.69
14,RCCH,TSR,0.0,0.0,0.0,0.0,20.63,16.88,0.0,0.0
