,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,25.2,25.2,20.61,18.9,19.61,16.41,18.89,15.48
1,LCCC,TRS2,26.46,26.46,21.65,19.85,20.6,17.24,19.84,16.26
2,LCCC,TRS3,26.97,26.97,24.04,21.73,22.53,18.31,21.46,17.37
3,LCCC,TRS4,28.58,28.4,26.71,24.14,25.03,20.34,23.84,19.3
4,LCCC,TSR,0.0,0.0,0.0,0.0,20.6,17.24,0.0,0.0
5,LCCH,Reg,25.2,25.2,19.32,17.91,18.65,16.69,17.42,15.56
6,LCCH,TRS2,26.46,26.46,20.29,18.81,19.59,17.53,18.3,16.34
7,LCCH,TRS3,26.97,26.97,21.63,19.9,20.78,18.59,19.4,17.46
8,LCCH,TRS4,28.4,28.4,24.03,22.11,23.08,20.65,21.55,19.39
9,LCCH,TSR,,,,,19.59,17.53,,
10,RCCH,Reg,25.2,25.2,18.93,16.97,17.97,15.53,16.49,14.25
11,RCCH,TRS2,26.46,26.46,19.88,17.82,18.87,16.31,17.32,14.97
12,RCCH,TRS3,26.97,26.97,21.3,19.05,20.17,17.43,18.39,16.14
13,RCCH,TRS4,28.4,28.4,23.66,21.16,22.41,19.36,20.43,17.93
14,RCCH,TSR,0.0,0.0,0.0,0.0,18.87,16.31,0.0,0.0
