,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,32.27,27.68,29.11,24.88,26.32,18.25,24.38,16.03
1,LCCC,TRS2,36.84,32.4,33.79,29.65,31.07,23.06,29.16,20.79
2,LCCC,TRS3,40.93,36.0,37.54,32.94,34.52,25.62,32.4,23.1
3,LCCC,TRS4,45.47,39.99,41.71,36.6,38.35,28.46,36.0,25.66
4,LCCC,TSR,0.0,0.0,0.0,0.0,27.64,19.17,0.0,0.0
5,LCCH,Reg,27.18,23.27,24.7,21.61,23.15,18.39,20.74,15.69
6,LCCH,TRS2,31.91,28.07,29.48,26.43,27.96,23.2,25.56,20.25
7,LCCH,TRS3,35.45,31.18,32.75,29.36,31.06,25.77,28.39,22.49
8,LCCH,TRS4,39.38,34.64,36.38,32.62,34.51,28.63,31.54,24.98
9,LCCH,TSR,0.0,0.0,0.0,0.0,24.31,19.31,0.0,0.0
10,RCCH,Reg,25.87,21.77,24.09,20.12,22.08,16.0,18.47,13.29
11,RCCH,TRS2,30.62,26.59,28.89,24.94,26.9,20.76,23.29,17.96
12,RCCH,TRS3,34.02,29.54,32.09,27.71,29.88,23.06,25.87,19.95
13,RCCH,TRS4,37.8,32.82,35.65,30.78,33.2,25.62,28.74,22.16
14,RCCH,TSR,0.0,0.0,0.0,0.0,23.19,16.8,0.0,0.0
