,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,22.88,20.52,20.76,18.43,18.88,16.66,17.57,14.48
1,LCCC,TRS2,25.67,22.72,23.65,20.89,21.84,17.5,20.57,15.21
2,LCCC,TRS3,28.52,25.24,26.27,23.21,24.26,18.3,22.85,16.6
3,LCCC,TRS4,31.68,28.04,29.18,25.78,26.95,20.33,25.38,18.44
4,LCCC,TSR,0.0,0.0,0.0,0.0,19.83,17.5,0.0,0.0
5,LCCH,Reg,19.46,16.82,17.79,15.7,16.75,14.88,15.11,13.7
6,LCCH,TRS2,22.4,19.83,20.78,18.73,19.76,16.56,18.15,14.58
7,LCCH,TRS3,24.88,22.03,23.08,20.81,21.95,18.4,20.16,16.19
8,LCCH,TRS4,27.64,24.47,25.64,23.12,24.38,20.44,22.39,17.98
9,LCCH,TSR,0.0,0.0,0.0,0.0,17.59,15.63,0.0,0.0
10,RCCH,Reg,18.58,15.81,17.38,14.69,16.02,11.87,13.57,10.01
11,RCCH,TRS2,21.54,18.84,20.38,17.74,19.04,14.93,16.62,13.03
12,RCCH,TRS3,23.93,20.93,22.64,19.71,21.15,16.58,18.46,14.47
13,RCCH,TRS4,26.58,23.25,25.15,21.89,23.5,18.42,20.51,16.07
14,RCCH,TSR,0.0,0.0,0.0,0.0,16.83,12.47,0.0,0.0
