,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,24.21,20.71,22.0,19.07,20.85,15.42,20.19,14.74
1,LCCC,TRS2,25.43,22.53,23.32,20.97,21.9,17.15,21.2,15.81
2,LCCC,TRS3,27.81,25.03,25.91,23.3,24.2,19.05,22.98,17.56
3,LCCC,TRS4,30.9,27.81,28.78,25.88,26.88,21.16,25.53,19.51
4,LCCC,TSR,0.0,0.0,0.0,0.0,21.9,16.2,0.0,0.0
5,LCCH,Reg,20.73,18.18,20.01,17.08,19.42,15.98,17.8,15.6
6,LCCH,TRS2,22.26,20.07,21.02,19.12,20.4,17.23,18.69,16.38
7,LCCH,TRS3,24.73,22.29,23.19,21.24,22.22,19.14,20.67,17.2
8,LCCH,TRS4,27.47,24.76,25.76,23.59,24.68,21.26,22.96,19.11
9,LCCH,TSR,0.0,0.0,0.0,0.0,20.4,16.78,0.0,0.0
10,RCCH,Reg,20.52,17.18,19.57,17.79,18.6,13.85,15.76,13.19
11,RCCH,TRS2,21.55,19.2,20.55,18.68,19.53,15.8,17.28,14.12
12,RCCH,TRS3,23.92,21.33,22.81,20.27,21.53,17.55,19.19,15.68
13,RCCH,TRS4,26.57,23.7,25.34,22.52,23.92,19.49,21.32,17.42
14,RCCH,TSR,0.0,0.0,0.0,0.0,19.53,14.55,0.0,0.0
