,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,33.57,27.62,28.91,25.06,26.37,18.97,24.6,16.9
1,LCCC,TRS2,35.32,31.36,32.6,28.9,30.17,22.95,28.46,20.89
2,LCCC,TRS3,39.24,34.84,36.22,32.11,33.52,25.49,31.62,23.21
3,LCCC,TRS4,43.6,38.71,40.24,35.67,37.24,28.32,35.13,25.78
4,LCCC,TSR,0.0,0.0,0.0,0.0,27.69,19.92,0.0,0.0
5,LCCH,Reg,27.16,23.59,25.41,22.07,23.48,19.1,21.26,16.39
6,LCCH,TRS2,30.93,27.47,28.75,26.01,27.38,23.08,25.2,20.38
7,LCCH,TRS3,34.36,30.52,31.94,28.89,30.42,25.64,28.0,22.64
8,LCCH,TRS4,38.17,33.91,35.48,32.09,33.79,28.48,31.11,25.15
9,LCCH,TSR,0.0,0.0,0.0,0.0,24.66,20.06,0.0,0.0
10,RCCH,Reg,26.28,22.22,24.65,21.61,22.5,16.87,19.17,14.32
11,RCCH,TRS2,29.78,26.14,28.21,24.66,26.42,20.86,23.15,18.29
12,RCCH,TRS3,33.08,29.04,31.34,27.39,29.35,23.17,25.72,20.32
13,RCCH,TRS4,36.75,32.26,34.82,30.43,32.61,25.74,28.57,22.57
14,RCCH,TSR,0.0,0.0,0.0,0.0,23.63,17.72,0.0,0.0
