,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,22.67,20.02,20.84,18.37,19.22,14.41,18.08,13.67
1,LCCC,TRS2,24.41,21.93,22.71,20.37,21.17,16.59,20.09,15.26
2,LCCC,TRS3,27.12,24.36,25.23,22.63,23.52,18.43,22.32,16.95
3,LCCC,TRS4,30.13,27.06,28.03,25.14,26.13,20.47,24.8,18.83
4,LCCC,TSR,0.0,0.0,0.0,0.0,20.19,16.73,0.0,0.0
5,LCCH,Reg,19.72,17.42,18.26,16.43,17.35,14.55,15.91,13.04
6,LCCH,TRS2,21.65,19.47,20.27,18.54,19.41,16.67,18.03,14.94
7,LCCH,TRS3,24.05,21.63,22.52,20.59,21.56,18.52,20.03,16.59
8,LCCH,TRS4,26.72,24.03,25.02,22.87,23.95,20.57,22.25,18.43
9,LCCH,TSR,0.0,0.0,0.0,0.0,18.22,15.28,0.0,0.0
10,RCCH,Reg,18.95,17.02,17.91,15.54,16.72,13.02,14.54,11.34
11,RCCH,TRS2,20.92,18.63,19.93,17.67,18.8,15.24,16.72,13.59
12,RCCH,TRS3,23.24,20.69,22.14,19.63,20.88,16.93,18.57,15.09
13,RCCH,TRS4,25.82,22.98,24.6,21.81,23.2,18.81,20.63,16.76
14,RCCH,TSR,0.0,0.0,0.0,0.0,17.56,13.68,0.0,0.0
