,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,24.07,20.9,21.89,18.95,19.95,14.3,18.6,12.72
1,LCCC,TRS2,26.82,23.81,24.75,21.92,22.89,17.37,21.59,15.8
2,LCCC,TRS3,29.8,26.45,27.5,24.35,25.43,19.3,23.98,17.55
3,LCCC,TRS4,33.11,29.38,30.55,27.05,28.25,21.44,26.64,19.49
4,LCCC,TSR,0.0,0.0,0.0,0.0,20.95,15.38,0.0,0.0
5,LCCH,Reg,20.55,17.82,18.82,16.66,17.74,14.4,16.05,12.46
6,LCCH,TRS2,23.47,20.83,21.79,19.7,20.75,17.47,19.1,15.41
7,LCCH,TRS3,26.07,23.14,24.21,21.88,23.05,19.41,21.22,17.12
8,LCCH,TRS4,28.96,25.71,26.9,24.31,25.61,21.56,23.57,19.02
9,LCCH,TSR,0.0,0.0,0.0,0.0,18.63,15.12,0.0,0.0
10,RCCH,Reg,19.64,16.78,18.4,15.62,16.99,12.7,14.45,10.76
11,RCCH,TRS2,22.59,19.81,21.39,18.67,20.02,15.78,17.53,13.82
12,RCCH,TRS3,25.1,22.01,23.76,20.74,22.24,17.53,19.47,15.35
13,RCCH,TRS4,27.88,24.45,26.4,23.04,24.71,19.47,21.63,17.05
14,RCCH,TSR,0.0,0.0,0.0,0.0,17.84,13.34,0.0,0.0
