,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,21.09,18.93,19.6,17.57,18.27,14.28,17.33,13.13
1,LCCC,TRS2,22.15,19.97,20.6,18.72,19.36,15.64,18.49,14.55
2,LCCC,TRS3,24.39,22.18,22.88,20.79,21.51,17.37,20.54,16.16
3,LCCC,TRS4,27.1,24.64,25.42,23.1,23.89,19.3,22.82,17.95
4,LCCC,TSR,0.0,0.0,0.0,0.0,19.19,15.0,0.0,0.0
5,LCCH,Reg,18.68,16.79,17.49,15.97,16.73,14.35,15.53,12.85
6,LCCH,TRS2,19.74,17.99,18.63,17.22,17.93,15.71,16.82,14.28
7,LCCH,TRS3,21.93,19.98,20.7,19.13,19.92,17.45,18.68,15.86
8,LCCH,TRS4,24.36,22.19,22.99,21.25,22.13,19.38,20.75,17.62
9,LCCH,TSR,0.0,0.0,0.0,0.0,17.57,15.07,0.0,0.0
10,RCCH,Reg,18.05,16.05,17.19,15.23,16.21,13.11,14.39,11.67
11,RCCH,TRS2,19.16,17.3,18.36,16.53,17.44,14.54,15.75,13.16
12,RCCH,TRS3,21.28,19.22,20.4,18.36,19.37,16.15,17.49,14.62
13,RCCH,TRS4,23.64,21.35,22.66,20.39,21.52,17.94,19.43,16.24
14,RCCH,TSR,0.0,0.0,0.0,0.0,17.03,13.77,0.0,0.0
