,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,32.66,28.61,29.88,26.52,27.4,20.4,25.67,18.36
1,LCCC,TRS2,35.73,31.92,33.12,29.53,30.76,23.74,29.1,21.72
2,LCCC,TRS3,39.7,35.46,36.79,32.81,34.17,26.37,32.33,24.13
3,LCCC,TRS4,44.11,39.39,40.87,36.45,37.96,29.3,35.92,26.81
4,LCCC,TSR,0.0,0.0,0.0,0.0,28.77,21.56,0.0,0.0
5,LCCH,Reg,28.16,24.67,26.01,23.18,24.74,20.25,22.39,17.58
6,LCCH,TRS2,31.49,28.15,29.37,26.72,28.05,23.86,25.94,21.24
7,LCCH,TRS3,34.98,31.27,32.63,29.69,31.16,26.51,28.82,23.59
8,LCCH,TRS4,38.86,34.74,36.25,32.99,34.62,29.45,32.02,26.21
9,LCCH,TSR,0.0,0.0,0.0,0.0,25.98,21.27,0.0,0.0
10,RCCH,Reg,27.0,23.33,25.41,21.93,23.72,18.05,20.33,15.56
11,RCCH,TRS2,30.38,26.85,28.86,25.4,27.12,21.7,23.94,19.19
12,RCCH,TRS3,33.75,29.83,32.06,28.22,30.13,24.11,26.6,21.32
13,RCCH,TRS4,37.49,33.14,35.62,31.35,33.47,26.78,29.55,23.68
14,RCCH,TSR,0.0,0.0,0.0,0.0,24.91,18.96,0.0,0.0
