,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,23.81,20.7,21.67,18.78,19.77,14.32,18.44,12.68
1,LCCC,TRS2,26.49,23.52,24.45,21.67,22.62,17.2,21.33,15.66
2,LCCC,TRS3,29.43,26.13,27.16,24.07,25.13,19.11,23.7,17.39
3,LCCC,TRS4,32.69,29.03,30.17,26.74,27.92,21.23,26.33,19.32
4,LCCC,TSR,0.0,0.0,0.0,0.0,20.76,15.04,0.0,0.0
5,LCCH,Reg,20.35,17.67,18.66,16.53,17.6,14.3,15.93,12.54
6,LCCH,TRS2,23.18,20.6,21.55,19.49,20.52,17.29,18.9,15.28
7,LCCH,TRS3,25.75,22.88,23.94,21.65,22.8,19.21,20.99,16.97
8,LCCH,TRS4,28.61,25.42,26.6,24.05,25.33,21.34,23.32,18.85
9,LCCH,TSR,0.0,0.0,0.0,0.0,18.48,15.02,0.0,0.0
10,RCCH,Reg,19.46,16.65,18.24,15.51,16.86,12.63,14.36,12.26
11,RCCH,TRS2,22.32,19.61,21.15,18.48,19.8,15.64,17.35,13.7
12,RCCH,TRS3,24.8,21.78,23.49,20.53,22.0,17.37,19.27,15.22
13,RCCH,TRS4,27.55,24.19,26.1,22.81,24.44,19.29,21.41,16.91
14,RCCH,TSR,0.0,0.0,0.0,0.0,17.71,13.27,0.0,0.0
