,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,22.86,20.09,20.96,18.37,19.26,14.25,18.06,12.83
1,LCCC,TRS2,24.88,22.27,23.09,20.63,21.47,16.66,20.34,15.28
2,LCCC,TRS3,27.64,24.74,25.65,22.92,23.85,18.51,22.59,16.97
3,LCCC,TRS4,30.71,27.48,28.49,25.46,26.5,20.56,25.1,18.85
4,LCCC,TSR,0.0,0.0,0.0,0.0,20.23,14.97,0.0,0.0
5,LCCH,Reg,19.78,17.38,18.26,16.35,17.31,14.33,15.81,12.74
6,LCCH,TRS2,21.97,19.69,20.52,18.71,19.62,16.75,18.18,14.94
7,LCCH,TRS3,24.41,21.87,22.8,20.78,21.79,18.61,20.19,16.59
8,LCCH,TRS4,27.12,24.29,25.33,23.08,24.21,20.67,22.43,18.43
9,LCCH,TSR,0.0,0.0,0.0,0.0,18.18,15.05,0.0,0.0
10,RCCH,Reg,18.98,16.45,17.89,15.42,16.65,12.81,14.39,11.06
11,RCCH,TRS2,21.22,18.8,20.17,17.81,18.98,15.26,16.8,13.53
12,RCCH,TRS3,23.57,20.88,22.41,19.78,21.08,16.95,18.66,15.03
13,RCCH,TRS4,26.18,23.2,24.9,21.97,23.42,18.83,20.73,16.69
14,RCCH,TSR,0.0,0.0,0.0,0.0,17.49,13.46,0.0,0.0
