,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,27.0,23.66,24.7,21.59,22.66,16.64,21.22,14.95
1,LCCC,TRS2,29.54,26.38,27.37,24.41,25.43,19.63,24.06,17.97
2,LCCC,TRS3,32.82,29.31,30.41,27.12,28.25,21.81,26.73,19.96
3,LCCC,TRS4,36.46,32.56,33.78,30.13,31.38,24.23,29.69,22.17
4,LCCC,TSR,0.0,0.0,0.0,0.0,23.8,17.48,0.0,0.0
5,LCCH,Reg,23.29,20.4,21.46,19.17,20.32,16.75,18.51,14.54
6,LCCH,TRS2,26.02,23.27,24.29,22.08,23.19,19.73,21.45,17.56
7,LCCH,TRS3,28.91,25.85,26.98,24.53,25.76,21.92,23.83,19.51
8,LCCH,TRS4,32.12,28.72,29.97,27.25,28.62,24.35,26.47,21.67
9,LCCH,TSR,0.0,0.0,0.0,0.0,21.34,17.59,0.0,0.0
10,RCCH,Reg,22.32,19.29,21.01,18.05,19.52,14.93,16.81,12.83
11,RCCH,TRS2,25.11,22.2,23.86,21.0,22.42,17.94,19.8,15.87
12,RCCH,TRS3,27.9,24.66,26.51,23.33,24.91,19.93,21.99,17.63
13,RCCH,TRS4,30.99,27.4,29.45,25.92,27.67,22.14,24.43,19.58
14,RCCH,TSR,0.0,0.0,0.0,0.0,20.5,15.68,0.0,0.0
