,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,27.32,23.37,24.6,20.96,22.2,15.47,20.53,13.68
1,LCCC,TRS2,31.35,27.53,28.72,25.16,26.38,19.48,24.74,17.53
2,LCCC,TRS3,34.83,30.58,31.91,27.95,29.31,21.64,27.48,19.47
3,LCCC,TRS4,38.7,33.97,35.45,31.05,32.56,24.04,30.53,21.63
4,LCCC,TSR,0.0,0.0,0.0,0.0,23.31,16.25,0.0,0.0
5,LCCH,Reg,22.94,19.86,21.37,18.45,19.96,16.02,17.45,13.84
6,LCCH,TRS2,27.1,23.79,25.01,22.38,23.7,19.62,21.63,17.43
7,LCCH,TRS3,30.11,26.43,27.78,24.86,26.33,21.79,24.03,19.36
8,LCCH,TRS4,33.45,29.36,30.86,27.62,29.25,24.21,26.69,21.51
9,LCCH,TSR,0.0,0.0,0.0,0.0,20.96,16.83,0.0,0.0
10,RCCH,Reg,21.96,18.3,20.54,16.88,18.57,13.79,15.63,11.43
11,RCCH,TRS2,26.01,22.52,24.49,21.1,22.78,17.5,19.68,15.1
12,RCCH,TRS3,28.89,25.02,27.21,23.44,25.31,19.44,21.86,16.77
13,RCCH,TRS4,32.09,27.79,30.23,26.04,28.12,21.6,24.28,18.63
14,RCCH,TSR,0.0,0.0,0.0,0.0,19.5,14.48,0.0,0.0
