,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,33.43,29.35,30.63,26.83,28.13,20.78,26.38,18.7
1,LCCC,TRS2,36.42,32.57,33.78,30.17,31.41,24.35,29.74,22.32
2,LCCC,TRS3,40.46,36.18,37.53,33.52,34.9,27.05,33.04,24.79
3,LCCC,TRS4,44.95,40.2,41.69,37.24,38.77,30.05,36.71,27.54
4,LCCC,TSR,0.0,0.0,0.0,0.0,29.54,21.82,0.0,0.0
5,LCCH,Reg,28.9,25.37,26.67,23.87,25.27,20.91,23.07,18.2
6,LCCH,TRS2,32.14,28.78,30.02,27.34,28.68,24.47,26.56,21.81
7,LCCH,TRS3,35.71,31.97,33.35,30.37,31.86,27.18,29.51,24.23
8,LCCH,TRS4,39.67,35.52,37.05,33.74,35.4,30.2,32.78,26.92
9,LCCH,TSR,0.0,0.0,0.0,0.0,26.54,21.96,0.0,0.0
10,RCCH,Reg,27.72,24.02,26.12,22.5,24.3,18.68,20.98,16.11
11,RCCH,TRS2,31.03,27.47,29.5,26.01,27.75,22.28,24.55,19.75
12,RCCH,TRS3,34.47,30.52,32.77,28.9,30.83,24.75,27.27,21.94
13,RCCH,TRS4,38.29,33.91,36.41,32.11,34.25,27.5,30.29,24.37
14,RCCH,TSR,0.0,0.0,0.0,0.0,25.52,19.62,0.0,0.0
