,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,24.95,22.4,23.2,20.81,21.63,16.93,20.52,15.57
1,LCCC,TRS2,26.2,23.6,24.36,22.13,22.89,18.51,21.87,17.23
2,LCCC,TRS3,28.83,26.22,27.04,24.58,25.43,20.56,24.3,19.14
3,LCCC,TRS4,32.03,29.13,30.04,27.31,28.25,22.84,26.99,21.26
4,LCCC,TSR,0.0,0.0,0.0,0.0,22.72,17.78,0.0,0.0
5,LCCH,Reg,22.12,19.88,20.71,18.92,19.82,17.01,18.41,15.24
6,LCCH,TRS2,23.34,21.27,22.04,20.37,21.22,18.58,19.89,16.92
7,LCCH,TRS3,25.93,23.63,24.48,22.63,23.57,20.64,22.1,18.79
8,LCCH,TRS4,28.81,26.25,27.19,25.14,26.18,22.93,24.55,20.87
9,LCCH,TSR,0.0,0.0,0.0,0.0,20.82,17.87,0.0,0.0
10,RCCH,Reg,21.37,19.02,20.36,18.04,19.2,15.55,17.06,13.85
11,RCCH,TRS2,22.66,20.46,21.71,19.55,20.63,17.21,18.63,15.59
12,RCCH,TRS3,25.17,22.73,24.12,21.72,22.92,19.12,20.7,17.32
13,RCCH,TRS4,27.96,25.25,26.8,24.13,25.46,21.24,22.99,19.24
14,RCCH,TSR,0.0,0.0,0.0,0.0,20.16,16.33,0.0,0.0
