,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,23.56,20.78,21.65,19.06,21.34,16.21,18.75,14.22
1,LCCC,TRS2,25.43,22.82,23.64,21.19,22.41,17.23,20.9,15.84
2,LCCC,TRS3,28.25,25.35,26.26,23.54,24.48,19.14,23.22,17.59
3,LCCC,TRS4,31.38,28.16,29.17,26.15,27.19,21.26,25.79,19.54
4,LCCC,TSR,0.0,0.0,0.0,0.0,22.41,17.03,0.0,0.0
5,LCCH,Reg,20.47,18.07,19.02,17.04,18.0,15.01,16.49,13.18
6,LCCH,TRS2,22.52,20.25,21.1,19.26,20.17,17.31,18.73,15.49
7,LCCH,TRS3,25.02,22.49,23.44,21.4,22.41,19.23,20.81,17.21
8,LCCH,TRS4,27.8,24.98,26.04,23.77,24.9,21.36,23.12,19.12
9,LCCH,TSR,0.0,0.0,0.0,0.0,18.9,15.77,0.0,0.0
10,RCCH,Reg,19.67,17.14,18.58,16.1,17.33,13.47,15.06,11.7
11,RCCH,TRS2,21.78,19.36,20.74,18.36,19.54,15.82,17.36,14.09
12,RCCH,TRS3,24.19,21.51,23.04,20.4,21.71,17.57,19.28,15.65
13,RCCH,TRS4,26.87,23.89,25.59,22.66,24.12,19.52,21.42,17.38
14,RCCH,TSR,0.0,0.0,0.0,0.0,18.2,14.15,0.0,0.0
