,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,24.82,22.05,22.92,20.33,21.22,16.95,20.03,14.73
1,LCCC,TRS2,26.39,23.82,24.63,22.2,23.03,18.26,21.91,16.87
2,LCCC,TRS3,29.32,26.46,27.36,24.66,25.58,20.28,24.34,18.74
3,LCCC,TRS4,32.57,29.39,30.39,27.4,28.42,22.53,27.04,20.82
4,LCCC,TSR,0.0,0.0,0.0,0.0,22.29,17.8,0.0,0.0
5,LCCH,Reg,21.75,19.34,20.22,18.3,19.27,16.26,17.75,14.37
6,LCCH,TRS2,23.52,21.26,22.1,20.28,21.2,18.34,19.76,16.53
7,LCCH,TRS3,26.13,23.62,24.55,22.53,23.55,20.37,21.95,18.36
8,LCCH,TRS4,29.03,26.24,27.27,25.03,26.16,22.63,24.38,20.4
9,LCCH,TSR,0.0,0.0,0.0,0.0,20.24,17.08,0.0,0.0
10,RCCH,Reg,20.94,18.4,19.85,17.36,18.6,14.71,16.31,12.91
11,RCCH,TRS2,22.77,20.38,21.75,19.39,20.57,16.85,18.39,15.12
12,RCCH,TRS3,25.29,22.64,24.16,21.54,22.85,18.72,20.43,16.79
13,RCCH,TRS4,28.1,25.15,26.84,23.93,25.38,20.79,22.69,18.65
14,RCCH,TSR,0.0,0.0,0.0,0.0,19.53,15.45,0.0,0.0
