,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,34.19,29.86,31.21,27.18,28.56,20.79,26.71,18.72
1,LCCC,TRS2,37.68,33.57,34.85,31.01,32.32,24.79,30.54,22.63
2,LCCC,TRS3,41.86,37.29,38.72,34.45,35.91,27.54,33.93,25.14
3,LCCC,TRS4,46.51,41.43,43.02,38.27,39.9,30.6,37.7,27.93
4,LCCC,TSR,0.0,0.0,0.0,0.0,29.99,21.83,0.0,0.0
5,LCCH,Reg,29.38,25.64,27.03,24.05,25.53,21.28,23.2,18.89
6,LCCH,TRS2,33.11,29.52,30.84,27.98,29.41,24.93,27.15,22.11
7,LCCH,TRS3,36.78,32.79,34.26,31.08,32.67,27.69,30.16,24.56
8,LCCH,TRS4,40.86,36.43,38.06,34.53,36.3,30.76,33.51,27.28
9,LCCH,TSR,0.0,0.0,0.0,0.0,26.81,22.35,0.0,0.0
10,RCCH,Reg,28.13,24.2,26.43,22.61,24.5,18.84,21.0,16.22
11,RCCH,TRS2,31.92,28.12,30.29,26.57,28.42,22.6,25.01,19.91
12,RCCH,TRS3,35.46,31.24,33.65,29.52,31.57,25.11,27.78,22.12
13,RCCH,TRS4,39.39,34.71,37.38,32.8,35.07,27.9,30.86,24.57
14,RCCH,TSR,0.0,0.0,0.0,0.0,25.73,19.79,0.0,0.0
