,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,27.26,25.76,25.11,23.4,23.06,21.06,22.24,14.75
1,LCCC,TRS2,28.63,27.05,26.37,24.57,24.22,22.12,23.36,17.18
2,LCCC,TRS3,30.58,27.57,28.35,25.24,26.51,22.55,25.2,19.08
3,LCCC,TRS4,33.97,30.3,31.5,28.04,29.45,23.03,27.99,21.2
4,LCCC,TSR,0.0,0.0,0.0,0.0,24.42,22.3,0.0,0.0
5,LCCH,Reg,26.34,25.09,23.88,21.85,22.0,20.03,20.86,14.88
6,LCCH,TRS2,27.66,26.35,25.08,22.95,23.1,21.04,21.91,17.31
7,LCCH,TRS3,28.19,26.86,25.99,23.42,24.75,21.45,22.52,19.23
8,LCCH,TRS4,30.21,27.4,28.87,26.02,27.5,23.58,25.02,21.36
9,LCCH,TSR,0.0,0.0,0.0,0.0,23.3,21.21,0.0,0.0
10,RCCH,Reg,24.9,23.91,22.72,20.7,21.0,18.96,19.68,12.79
11,RCCH,TRS2,26.15,25.11,23.86,21.74,22.05,19.91,20.67,15.27
12,RCCH,TRS3,26.65,25.59,25.27,22.16,23.52,20.29,21.07,16.96
13,RCCH,TRS4,29.43,26.07,28.07,24.17,26.13,21.31,23.19,18.84
14,RCCH,TSR,0.0,0.0,0.0,0.0,22.23,20.07,0.0,0.0
