,Provider Type, Provider Rating, Infant FT, Infant PT, Toddler FT, Toddler PT, Preschool FT, Preschool PT, School-age FT, School-age PT
0,LCCC,Reg,24.4,20.64,21.81,18.35,19.52,13.01,17.95,11.23
1,LCCC,TRS2,28.64,24.95,26.1,22.68,23.85,17.25,22.27,15.39
2,LCCC,TRS3,31.82,27.72,28.99,25.19,26.49,19.16,24.74,17.1
3,LCCC,TRS4,35.35,30.79,32.21,27.98,29.43,21.28,27.48,18.99
4,LCCC,TSR,0.0,0.0,0.0,0.0,20.5,13.67,0.0,0.0
5,LCCH,Reg,20.23,17.04,18.2,15.71,16.95,13.12,15.0,10.84
6,LCCH,TRS2,24.54,21.36,22.52,20.01,21.27,17.36,19.28,14.94
7,LCCH,TRS3,27.26,23.73,25.02,22.23,23.63,19.28,21.42,16.6
8,LCCH,TRS4,30.28,26.36,27.8,24.69,26.25,21.42,23.8,18.44
9,LCCH,TSR,0.0,0.0,0.0,0.0,17.8,13.78,0.0,0.0
10,RCCH,Reg,19.16,15.84,17.72,14.51,16.09,11.21,13.18,9.8
11,RCCH,TRS2,23.48,20.14,22.04,18.79,20.4,15.37,17.42,13.09
12,RCCH,TRS3,26.08,22.37,24.48,20.87,22.66,17.07,19.35,14.54
13,RCCH,TRS4,28.97,24.85,27.19,23.18,25.17,18.96,21.5,16.15
14,RCCH,TSR,0.0,0.0,0.0,0.0,16.9,11.78,0.0,0.0
